ALA1 Auburn,11836621.523,2101057.444,702.118,
e10,11837218.867,2164460.393,624.487,
n1,11837211.260,2164360.003,623.826,
power box n 1,11837206.146,2164279.019,623.395,
n2,11837197.203,2164157.744,623.817,
power box n 2,11837197.200,2164080.635,623.478,
n3,11837190.702,2163957.062,623.449,
power box n 3,11837190.824,2163879.730,623.234,
gantry n 1,11837192.255,2163804.430,622.617,
gantry n 2,11837142.438,2163803.127,622.809,
n4,11837182.901,2163757.383,623.290,
power box n 4,11837183.321,2163680.689,623.207,
n5,11837176.925,2163558.430,623.067,
power box n 5,11837176.129,2163480.694,622.491,
n6,11837169.075,2163357.911,622.370,
power box n 6,11837168.036,2163282.294,621.661,
n7,11837161.415,2163160.885,622.139,
base station,11836335.361,2165102.438,656.523,
skid bathroom se,11836302.376,2165155.520,658.030,
skid bathroom nw,11836325.172,2165171.180,658.185,
skid bldg 2 se,11836350.596,2165172.654,658.645,
skid bldg 2 ne,11836362.885,2165179.005,658.500,
skid lightpole,11836421.829,2165227.377,660.089,
track-skid stop,11836136.379,2164476.624,633.448,
e2,11836196.504,2164595.970,633.196,
e3,11836259.505,2164802.901,634.588,
e4,11836376.492,2164962.242,635.580,
e5,11836563.255,2165055.507,631.157,
e6,11836767.919,2165075.618,629.260,
